Main
Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,Company,Stock
9/8/2017,160.86,161.15,158.53,158.63,28183159,0,1,160.86,161.15,158.53,158.63,28183159,Apple,AAPL
9/7/2017,162.09,162.24,160.36,161.26,21722995,0,1,162.09,162.24,160.36,161.26,21722995,Apple,AAPL
9/6/2017,162.71,162.99,160.52,161.91,21179047,0,1,162.71,162.99,160.52,161.91,21179047,Apple,AAPL
9/5/2017,163.75,164.25,160.56,162.08,29317054,0,1,163.75,164.25,160.56,162.08,29317054,Apple,AAPL
9/1/2017,164.8,164.94,163.63,164.05,16508568,0,1,164.8,164.94,163.63,164.05,16508568,Apple,AAPL
8/31/2017,163.64,164.52,163.48,164,26412439,0,1,163.64,164.52,163.48,164,26412439,Apple,AAPL
8/30/2017,163.8,163.89,162.61,163.35,26973946,0,1,163.8,163.89,162.61,163.35,26973946,Apple,AAPL
8/29/2017,160.1,163.12,160,162.91,29307862,0,1,160.1,163.12,160,162.91,29307862,Apple,AAPL
8/28/2017,160.14,162,159.93,161.47,25279674,0,1,160.14,162,159.93,161.47,25279674,Apple,AAPL
8/25/2017,159.65,160.56,159.27,159.86,25015218,0,1,159.65,160.56,159.27,159.86,25015218,Apple,AAPL
8/24/2017,160.43,160.74,158.55,159.27,19029621,0,1,160.43,160.74,158.55,159.27,19029621,Apple,AAPL
8/23/2017,159.07,160.47,158.88,159.98,19198189,0,1,159.07,160.47,158.88,159.98,19198189,Apple,AAPL
8/22/2017,158.23,160,158.02,159.78,21297812,0,1,158.23,160,158.02,159.78,21297812,Apple,AAPL
8/21/2017,157.5,157.89,155.1101,157.21,26145653,0,1,157.5,157.89,155.1101,157.21,26145653,Apple,AAPL
8/18/2017,157.86,159.5,156.72,157.5,27012525,0,1,157.86,159.5,156.72,157.5,27012525,Apple,AAPL
8/17/2017,160.52,160.71,157.84,157.87,26925694,0,1,160.52,160.71,157.84,157.87,26925694,Apple,AAPL
8/16/2017,161.94,162.51,160.15,160.95,27321761,0,1,161.94,162.51,160.15,160.95,27321761,Apple,AAPL
8/15/2017,160.66,162.195,160.14,161.6,27936774,0,1,160.66,162.195,160.14,161.6,27936774,Apple,AAPL
8/14/2017,159.32,160.21,158.75,159.85,21754810,0,1,159.32,160.21,158.75,159.85,21754810,Apple,AAPL
8/11/2017,156.6,158.5728,156.07,157.48,25943187,0,1,156.6,158.5728,156.07,157.48,25943187,Apple,AAPL
8/10/2017,159.9,160,154.63,155.27,39081017,0.63,1,159.9,160,154.63,155.27,39081017,Apple,AAPL
8/9/2017,159.26,161.27,159.11,161.06,25640394,0,1,158.6164221,160.6182996,158.4670282,160.4091482,25640394,Apple,AAPL
8/8/2017,158.6,161.83,158.27,160.08,35775675,0,1,157.9590892,161.1760366,157.6304227,159.4331084,35775675,Apple,AAPL
8/4/2017,156.07,157.4,155.69,156.39,20349532,0,1,155.439313,156.7639384,155.0608486,155.7580199,20349532,Apple,AAPL
8/3/2017,157.05,157.21,155.02,155.57,26000738,0,1,156.4153528,156.5747062,154.3935561,154.9413335,26000738,Apple,AAPL
8/2/2017,159.28,159.75,156.16,157.14,69222793,0,1,158.6363412,159.1044419,155.5289493,156.5049891,69222793,Apple,AAPL
8/1/2017,149.1,150.22,148.41,150.05,24725526,0,1,148.4974792,149.6129532,147.8102675,149.4436402,24725526,Apple,AAPL
7/31/2017,149.9,150.33,148.13,148.85,19422655,0,1,149.2942463,149.7225087,147.531399,148.2484894,19422655,Apple,AAPL
7/28/2017,149.89,150.23,149.19,149.5,16832947,0,1,149.2842867,149.6229128,148.5871155,148.8958627,16832947,Apple,AAPL
7/27/2017,153.75,153.99,147.3,150.56,32175875,0,1,153.1286883,153.3677184,146.704753,149.9515792,32175875,Apple,AAPL
7/26/2017,153.35,153.93,153.06,153.46,15172136,0,1,152.7303047,153.3079609,152.4414766,152.8398602,15172136,Apple,AAPL
7/25/2017,151.8,153.84,151.8,152.74,18612649,0,1,151.1865683,153.2183246,151.1865683,152.1227697,18612649,Apple,AAPL
7/24/2017,150.58,152.44,149.9,152.09,21122730,0,1,149.9714984,151.823982,149.2942463,151.4753964,21122730,Apple,AAPL
7/21/2017,149.99,150.44,148.88,150.27,24671002,0,1,149.3838826,149.8320641,148.2783682,149.6627511,24671002,Apple,AAPL
7/20/2017,151.5,151.74,150.19,150.34,17053326,0,1,150.8877806,151.1268108,149.5830744,149.7324682,17053326,Apple,AAPL
7/19/2017,150.48,151.42,149.95,151.02,20615419,0,1,149.8719025,150.8081039,149.3440443,150.4097203,20615419,Apple,AAPL
7/18/2017,149.2,150.13,148.67,150.08,17713795,0,1,148.597075,149.5233169,148.0692168,149.4735189,17713795,Apple,AAPL
7/17/2017,148.82,150.9,148.57,149.56,23243713,0,1,148.2186106,150.2902053,147.9696209,148.9556203,23243713,Apple,AAPL
7/14/2017,147.97,149.33,147.33,149.04,19961788,0,1,147.3720455,148.7265497,146.7346318,148.4377216,19961788,Apple,AAPL
7/13/2017,145.5,148.49,145.44,147.77,24922788,0,1,144.9120269,147.8899442,144.8522694,147.1728538,24922788,Apple,AAPL
7/12/2017,145.87,146.18,144.82,145.74,23617964,0,1,145.2805318,145.589279,144.2347749,145.1510571,23617964,Apple,AAPL
7/11/2017,144.73,145.85,144.38,145.53,18311156,0,1,144.1451386,145.2606126,143.7965529,144.9419057,18311156,Apple,AAPL
7/10/2017,144.11,145.95,143.37,145.06,21030466,0,1,143.527644,145.3602085,142.7906344,144.473805,21030466,Apple,AAPL
7/7/2017,142.9,144.75,142.9,144.18,18505351,0,1,142.3225337,144.1650577,142.3225337,143.5973611,18505351,Apple,AAPL
7/6/2017,143.02,143.5,142.41,142.73,23374374,0,1,142.4420487,142.920109,141.8345138,142.1532207,23374374,Apple,AAPL
7/5/2017,143.69,144.79,142.7237,144.09,20758795,0,1,143.1093412,144.2048961,142.1469461,143.5077248,20758795,Apple,AAPL
7/3/2017,144.88,145.3001,143.1,143.5,14276812,0,1,144.2945324,144.7129347,142.5217255,142.920109,14276812,Apple,AAPL
6/30/2017,144.45,144.96,143.78,144.02,22328979,0,1,143.86627,144.3742091,143.1989775,143.4380077,22328979,Apple,AAPL
6/29/2017,144.71,145.13,142.28,143.68,31116980,0,1,144.1252194,144.5435221,141.7050391,143.0993817,31116980,Apple,AAPL
6/28/2017,144.49,146.11,143.1601,145.83,21915939,0,1,143.9061084,145.5195619,142.5815826,145.2406934,21915939,Apple,AAPL
6/27/2017,145.01,146.16,143.62,143.74,24423643,0,1,144.4240071,145.5693598,143.0396241,143.1591392,24423643,Apple,AAPL
6/26/2017,147.17,148.28,145.38,145.82,25524661,0,1,146.5752784,147.6807928,144.7925119,145.2307338,25524661,Apple,AAPL
6/23/2017,145.13,147.16,145.11,146.35,25997976,0,1,144.5435221,146.5653188,144.523603,145.758592,25997976,Apple,AAPL
6/22/2017,145.77,146.7,145.1199,145.63,18673365,0,1,145.1809359,146.1071777,144.5334629,145.0415016,18673365,Apple,AAPL
6/21/2017,145.52,146.0693,144.61,145.87,21064679,0,1,144.9319461,145.4790264,144.0256235,145.2805318,21064679,Apple,AAPL
6/20/2017,146.87,146.87,144.94,145.01,24572170,0,1,146.2764907,146.2764907,144.3542899,144.4240071,24572170,Apple,AAPL
6/19/2017,143.66,146.74,143.66,146.34,31449132,0,1,143.0794625,146.147016,143.0794625,145.7486325,31449132,Apple,AAPL
6/16/2017,143.78,144.5,142.2,142.27,49180748,0,1,143.1989775,143.916068,141.6253624,141.6950795,49180748,Apple,AAPL
6/15/2017,143.32,144.4798,142.21,144.29,31348832,0,1,142.7408364,143.8959496,141.635322,143.7069166,31348832,Apple,AAPL
6/14/2017,147.5,147.5,143.84,145.16,31224203,0,1,146.9039448,146.9039448,143.2587351,144.5734009,31224203,Apple,AAPL
6/13/2017,147.16,147.45,145.15,146.59,33749154,0,1,146.5653188,146.8541469,144.5634413,145.9976222,33749154,Apple,AAPL
6/12/2017,145.74,146.09,142.51,145.32,71563614,0,1,145.1510571,145.4996427,141.9341097,144.7327543,71563614,Apple,AAPL
6/9/2017,155.19,155.19,146.02,148.98,64176149,0,1,154.5628691,154.5628691,145.4299256,148.3779641,64176149,Apple,AAPL
6/8/2017,155.25,155.54,154.4,154.99,20771367,0,1,154.6226267,154.9114548,153.7760616,154.3636774,20771367,Apple,AAPL
6/7/2017,155.02,155.98,154.48,155.37,20678772,0,1,154.3935561,155.3496767,153.8557383,154.7421418,20678772,Apple,AAPL
6/6/2017,153.9,155.81,153.78,154.45,26249630,0,1,153.2780821,155.1803637,153.158567,153.8258595,26249630,Apple,AAPL
6/5/2017,154.34,154.45,153.46,153.93,24803858,0,1,153.716304,153.8258595,152.8398602,153.3079609,24803858,Apple,AAPL
6/2/2017,153.58,155.45,152.89,155.45,27285861,0,1,152.9593752,154.8218185,152.2721636,154.8218185,27285861,Apple,AAPL
6/1/2017,153.17,153.33,152.22,153.18,16180143,0,1,152.5510321,152.7103855,151.6048711,152.5609917,16180143,Apple,AAPL
5/31/2017,153.97,154.17,152.38,152.76,23162873,0,1,153.3477992,153.546991,151.7642245,152.1426889,23162873,Apple,AAPL
5/30/2017,153.42,154.43,153.33,153.67,20034934,0,1,152.8000218,153.8059403,152.7103855,153.0490115,20034934,Apple,AAPL
5/26/2017,154,154.24,153.31,153.61,21632202,0,1,153.377678,153.6167081,152.6904663,152.989254,21632202,Apple,AAPL
5/25/2017,153.73,154.35,153.03,153.87,19044463,0,1,153.1087691,153.7262636,152.4115978,153.2482033,19044463,Apple,AAPL
5/24/2017,153.84,154.17,152.67,153.34,19118319,0,1,153.2183246,153.546991,152.0530526,152.7203451,19118319,Apple,AAPL
5/23/2017,154.9,154.9,153.31,153.8,19430358,0,1,154.2740411,154.2740411,152.6904663,153.1784862,19430358,Apple,AAPL
5/22/2017,154,154.58,152.91,153.99,22340069,0,1,153.377678,153.9553342,152.2920827,153.3677184,22340069,Apple,AAPL
5/19/2017,153.38,153.98,152.63,152.96,26733798,0,1,152.7601835,153.3577588,152.0132142,152.3418807,26733798,Apple,AAPL
5/18/2017,151.27,153.34,151.13,152.54,33159664,0,1,150.6587101,152.7203451,150.5192758,151.9235779,33159664,Apple,AAPL
5/17/2017,153.6,154.57,149.71,150.25,49482818,0,1,152.9792944,153.9453746,149.1050141,149.6428319,49482818,Apple,AAPL
5/16/2017,155.94,156.06,154.72,155.47,19904679,0,1,155.3098384,155.4293534,154.0947684,154.8417377,19904679,Apple,AAPL
5/15/2017,156.01,156.65,155.05,155.7,25700983,0,1,155.3795555,156.0169692,154.4234349,155.0708082,25700983,Apple,AAPL
5/12/2017,154.7,156.42,154.67,156.1,32221756,0,1,154.0748493,155.7878987,154.0449705,155.4691918,32221756,Apple,AAPL
5/11/2017,152.45,154.07,152.31,153.95,25596687,0.63,1,151.8339416,153.4473951,151.6945074,153.3278801,25596687,Apple,AAPL
5/10/2017,153.63,153.94,152.11,153.26,25670456,0,1,152.3855752,152.6930641,150.8778874,152.0185722,25670456,Apple,AAPL
5/9/2017,153.87,154.88,153.45,153.96,35942435,0,1,152.6236312,153.62545,152.2070332,152.7129021,35942435,Apple,AAPL
5/8/2017,149.03,153.7,149.03,153,48339210,0,1,147.8228358,152.4550082,147.8228358,151.7606783,48339210,Apple,AAPL
5/5/2017,146.76,148.98,146.76,148.96,26787359,0,1,145.5712232,147.7732408,145.5712232,147.7534028,26787359,Apple,AAPL
5/4/2017,146.52,147.14,145.81,146.53,23275690,0,1,145.3331672,145.9481451,144.6289183,145.3430862,23275690,Apple,AAPL
5/3/2017,145.59,147.49,144.27,147.06,45142806,0,1,144.4107003,146.2953101,143.1013925,145.8687931,45142806,Apple,AAPL
5/2/2017,147.54,148.09,146.84,147.51,39752670,0,1,146.3449051,146.89045,145.6505752,146.3151481,39752670,Apple,AAPL
5/1/2017,145.1,147.2,144.96,146.6,32818760,0,1,143.9246694,146.0076591,143.7858034,145.4125192,32818760,Apple,AAPL
4/28/2017,144.09,144.3,143.27,143.65,20247187,0,1,142.9228505,143.1311495,142.1094927,142.4864146,20247187,Apple,AAPL
4/27/2017,143.9225,144.16,143.31,143.79,13948980,0,1,142.7567073,142.9922835,142.1491687,142.6252806,13948980,Apple,AAPL
4/26/2017,144.47,144.6,143.3762,143.6508,19614287,0,1,143.2997725,143.4287195,142.2148324,142.4872081,19614287,Apple,AAPL
4/25/2017,143.91,144.9,143.87,144.54,18216472,0,1,142.7443086,143.7262894,142.7046326,143.3692055,18216472,Apple,AAPL
4/24/2017,143.5,143.95,143.18,143.64,17116599,0,1,142.3376296,142.7839846,142.0202217,142.4764956,17116599,Apple,AAPL
4/21/2017,142.44,142.68,141.85,142.27,17320928,0,1,141.2862158,141.5242717,140.7009949,141.1175928,17320928,Apple,AAPL
4/20/2017,141.22,142.92,141.16,142.44,23319562,0,1,140.0760979,141.7623277,140.016584,141.2862158,23319562,Apple,AAPL
4/19/2017,141.88,142,140.45,140.68,17328375,0,1,140.7307519,140.8497798,139.3123351,139.540472,17328375,Apple,AAPL
4/18/2017,141.41,142.04,141.11,141.2,14697544,0,1,140.2645589,140.8894558,139.966989,140.05626,14697544,Apple,AAPL
4/17/2017,141.48,141.88,140.87,141.83,16582094,0,1,140.3339919,140.7307519,139.728933,140.6811569,16582094,Apple,AAPL
